date,year,month,pkr_per_usd
2015-01-01,2015,1,101.9
2015-02-01,2015,2,101.9
2015-03-01,2015,3,101.9
2015-04-01,2015,4,101.9
2015-05-01,2015,5,101.9
2015-06-01,2015,6,101.9
2015-07-01,2015,7,101.9
2015-08-01,2015,8,101.9
2015-09-01,2015,9,101.9
2015-10-01,2015,10,101.9
2015-11-01,2015,11,101.9
2015-12-01,2015,12,101.9
2016-01-01,2016,1,104.6
2016-02-01,2016,2,104.6
2016-03-01,2016,3,104.6
2016-04-01,2016,4,104.6
2016-05-01,2016,5,104.6
2016-06-01,2016,6,104.6
2016-07-01,2016,7,104.6
2016-08-01,2016,8,104.6
2016-09-01,2016,9,104.6
2016-10-01,2016,10,104.6
2016-11-01,2016,11,104.6
2016-12-01,2016,12,104.6
2017-01-01,2017,1,104.9
2017-02-01,2017,2,104.9
2017-03-01,2017,3,104.9
2017-04-01,2017,4,104.9
2017-05-01,2017,5,104.9
2017-06-01,2017,6,104.9
2017-07-01,2017,7,104.9
2017-08-01,2017,8,104.9
2017-09-01,2017,9,104.9
2017-10-01,2017,10,104.9
2017-11-01,2017,11,104.9
2017-12-01,2017,12,104.9
2018-01-01,2018,1,121.6
2018-02-01,2018,2,121.6
2018-03-01,2018,3,121.6
2018-04-01,2018,4,121.6
2018-05-01,2018,5,121.6
2018-06-01,2018,6,121.6
2018-07-01,2018,7,121.6
2018-08-01,2018,8,121.6
2018-09-01,2018,9,121.6
2018-10-01,2018,10,121.6
2018-11-01,2018,11,121.6
2018-12-01,2018,12,121.6
2019-01-01,2019,1,150.0
2019-02-01,2019,2,150.0
2019-03-01,2019,3,150.0
2019-04-01,2019,4,150.0
2019-05-01,2019,5,150.0
2019-06-01,2019,6,150.0
2019-07-01,2019,7,150.0
2019-08-01,2019,8,150.0
2019-09-01,2019,9,150.0
2019-10-01,2019,10,150.0
2019-11-01,2019,11,150.0
2019-12-01,2019,12,150.0
2020-01-01,2020,1,161.8
2020-02-01,2020,2,161.8
2020-03-01,2020,3,161.8
2020-04-01,2020,4,161.8
2020-05-01,2020,5,161.8
2020-06-01,2020,6,161.8
2020-07-01,2020,7,161.8
2020-08-01,2020,8,161.8
2020-09-01,2020,9,161.8
2020-10-01,2020,10,161.8
2020-11-01,2020,11,161.8
2020-12-01,2020,12,161.8
2021-01-01,2021,1,167.6
2021-02-01,2021,2,167.6
2021-03-01,2021,3,167.6
2021-04-01,2021,4,167.6
2021-05-01,2021,5,167.6
2021-06-01,2021,6,167.6
2021-07-01,2021,7,167.6
2021-08-01,2021,8,167.6
2021-09-01,2021,9,167.6
2021-10-01,2021,10,167.6
2021-11-01,2021,11,167.6
2021-12-01,2021,12,167.6
2022-01-01,2022,1,204.9
2022-02-01,2022,2,204.9
2022-03-01,2022,3,204.9
2022-04-01,2022,4,204.9
2022-05-01,2022,5,204.9
2022-06-01,2022,6,204.9
2022-07-01,2022,7,204.9
2022-08-01,2022,8,204.9
2022-09-01,2022,9,204.9
2022-10-01,2022,10,204.9
2022-11-01,2022,11,204.9
2022-12-01,2022,12,204.9
2023-01-01,2023,1,281.0
2023-02-01,2023,2,281.0
2023-03-01,2023,3,281.0
2023-04-01,2023,4,281.0
2023-05-01,2023,5,281.0
2023-06-01,2023,6,281.0
2023-07-01,2023,7,281.0
2023-08-01,2023,8,281.0
2023-09-01,2023,9,281.0
2023-10-01,2023,10,281.0
2023-11-01,2023,11,281.0
2023-12-01,2023,12,281.0
2024-01-01,2024,1,278.5
2024-02-01,2024,2,278.5
2024-03-01,2024,3,278.5
2024-04-01,2024,4,278.5
2024-05-01,2024,5,278.5
2024-06-01,2024,6,278.5
2024-07-01,2024,7,278.5
2024-08-01,2024,8,278.5
2024-09-01,2024,9,278.5
2024-10-01,2024,10,278.5
2024-11-01,2024,11,278.5
2024-12-01,2024,12,278.5
