fiscal_year,it_exports_mn_usd,year,it_exports_yoy_pct,it_exports_bn_usd
FY06,269,2006,,0.269
FY07,227,2007,-15.6,0.227
FY08,269,2008,18.5,0.269
FY09,380,2009,41.3,0.38
FY10,433,2010,13.9,0.433
FY11,443,2011,2.3,0.443
FY12,460,2012,3.8,0.46
FY13,803,2013,74.6,0.803
FY14,817,2014,1.7,0.817
FY15,821,2015,0.5,0.821
FY16,789,2016,-3.9,0.789
FY17,940,2017,19.1,0.94
FY18,1067,2018,13.5,1.067
FY19,1192,2019,11.7,1.192
FY20,1440,2020,20.8,1.44
FY21,2108,2021,46.4,2.108
FY22,2619,2022,24.2,2.619
FY23,2596,2023,-0.9,2.596
FY24,3223,2024,24.2,3.223
FY25,3809,2025,18.2,3.809
